split,y_true,y_pred
train,56.0,53.26426569674676
train,24.0,24.700121272776595
train,59.0,59.26766809011207
train,50.0,54.51377846882963
train,15.0,30.030893269193108
train,42.0,39.70806603101436
train,46.0,51.26879895334161
train,40.0,43.54062442312631
train,48.0,47.832758431985035
train,61.0,57.80467943928144
train,42.0,37.556134768043556
train,40.0,43.38397636854676
train,38.0,36.29545482111026
train,63.0,51.50947201421158
train,42.0,43.49904741160056
train,61.0,57.45104800746217
train,56.0,50.635671520617336
train,34.0,36.074713136440664
train,24.0,19.7113898673248
train,38.0,44.206198525441806
train,61.0,57.216286958798605
train,48.0,52.07885662671475
train,18.0,17.46140626804839
train,30.0,37.55592235430352
train,56.0,56.74133447313624
train,30.0,38.758929894791784
train,44.0,34.67799047087709
train,34.0,36.72814333031019
train,48.0,49.801442616338775
train,36.0,9.483790308737362
train,40.0,44.479780725184426
train,48.0,51.697262192289415
train,61.0,55.039646192936495
train,24.0,23.642092402664368
train,50.0,49.5210155341874
train,30.0,39.15772685737445
train,30.0,39.83800596797186
train,50.0,46.9470424711423
train,34.0,37.67532565692152
train,34.0,37.25423871244461
train,54.0,65.39908744645574
train,63.0,50.71351287194561
train,68.0,44.96062498800222
train,44.0,40.061489489063604
train,44.0,45.19828544200448
train,24.0,23.761691846115443
train,24.0,24.363232521223683
train,46.0,48.51813307596846
train,15.0,22.284988002650525
train,48.0,50.94060855719145
train,46.0,46.22773271304459
train,56.0,55.35088416467739
train,24.0,25.631852651061784
train,34.0,30.082020343644245
train,50.0,54.04308059465224
train,52.0,55.943476661615534
train,50.0,45.44109725273428
train,56.0,51.332566081673
train,56.0,53.2569041837608
train,15.0,30.94260897457358
train,63.0,52.3545188646935
train,30.0,41.202580063366085
train,56.0,45.55452738780058
train,24.0,25.018935577461363
train,56.0,49.56657300225596
train,34.0,29.82338207897142
train,56.0,53.880999680744836
train,52.0,52.610719288253435
train,40.0,45.03941191516855
train,68.0,60.182002909233404
train,18.0,15.51656914350064
train,38.0,38.79933198134598
train,63.0,51.12041173169111
train,61.0,59.174757423045605
train,18.0,14.997800077390849
train,68.0,61.78603530730969
train,34.0,32.26182411097217
train,59.0,28.26641075341071
train,56.0,57.323012863829405
train,18.0,28.994781566482406
train,44.0,45.87572687016116
train,50.0,54.88091608817822
train,42.0,41.24729017017881
train,59.0,39.043831626305966
train,30.0,37.32615134449619
train,61.0,58.931107251642175
train,40.0,46.45510801073561
train,24.0,18.158890256611645
train,50.0,54.64654207091016
train,44.0,46.83572951496643
train,61.0,58.48585179561694
train,24.0,28.939029411480533
train,24.0,26.912848340794618
train,52.0,50.580606690177895
train,30.0,36.49369845134324
train,46.0,50.264559637774575
train,68.0,50.105014397371974
train,46.0,48.073817834132555
train,40.0,59.85353577464005
train,36.0,11.585841364730321
train,61.0,48.21591018449327
train,30.0,43.31377973117897
train,54.0,59.251625435096116
train,59.0,61.32664634456631
train,50.0,50.708233944191925
train,48.0,52.04949820114649
train,54.0,53.3075724591965
train,68.0,61.184750981017146
train,46.0,51.098006112957364
train,56.0,56.06858308530098
train,24.0,22.1275790731426
train,50.0,57.40121156692224
train,46.0,47.55456759348964
train,44.0,43.21174515315488
train,59.0,64.25325537244582
train,24.0,24.27683979056815
train,68.0,59.31418883909825
train,30.0,37.931461888401834
train,63.0,53.57270641902994
train,56.0,45.81124095729526
train,59.0,45.670876452854046
train,52.0,53.961731684399226
train,36.0,50.19269248993271
train,36.0,13.185343243605018
train,50.0,39.49995106588136
train,24.0,21.29034605082493
train,48.0,50.45977059054299
train,44.0,45.55725153684321
train,59.0,44.983267489598184
train,56.0,52.755714336193286
train,30.0,34.72469971541694
train,52.0,51.27672021113101
train,61.0,58.50631662404072
train,52.0,55.94205259165231
train,18.0,28.795333232144756
train,61.0,57.238803216632036
train,48.0,53.629132420342046
train,68.0,56.33245966806217
train,24.0,21.329536396298927
train,40.0,43.59040100183987
